Tipo de Servicio que se ofrece: ,Años de operación:,¿Cómo te promocionas actualmente?,¿Cómo describes la función de promoción actualmente?,¿Cómo te das a conocer actualmente?,De esos medios: Elige 3 que realmente te traen clientes.,¿Usas alguna app o plataforma para promocionar tu servicio? ¿Cómo ha sido tu experiencia?,Cuéntame un poco sobre tu negocio o servicio. ¿Qué ofreces y a qué tipo de visitantes atiendes normalmente?,¿Cómo es un día normal para ti cuando tienes visitantes o clientes?,¿Hay temporadas donde tienes muchos visitantes y otras donde casi no llegan? ¿Cómo te afecta eso?,Estacionalidad_Categoria,¿Cuál dirías que es el principal problema que enfrentas para atraer más visitantes?,"¿Qué tan fácil o difícil te resulta usar herramientas digitales para promocionarte?
",¿Has tenido alguna mala experiencia con plataformas digitales o redes sociales? ¿Qué pasó?,"Menciona ¿Cuál consideras sería la principal dificultad?
",¿Qué te haría confiar en una plataforma turística del gobierno del estado?,¿Qué tan valioso sería para ti aparecer en una app oficial que recomiende tu servicio a los visitantes?,"Si esa app existiera, ¿qué debería ofrecerte para que realmente la usaras?",¿Qué tan valioso consideras sería aparecer en una app turística oficial?,¿Qué funciones te resultarían más útiles?,En una escal del 1 al 5; donde 1 es nada y 5 totalmente. ¿Qué tanto confiaría en una plataforma que es oficial y gratuita?,"¿Qué tan dispuesto estarías a mantener tu información actualizada (por ejemplo de horarios, precios, fotos)?",¿Qué te motivaría a seguir usando la plataforma en el tiempo?,"Si pudieras pedirle algo a una plataforma turística para apoyar tu negocio, ¿qué sería?
","En una frase, ¿qué esperas de una plataforma turística del estado?"
Artesanías y Comercio,Más de 10 años,Recomendación directa,Las plataformas digitales me ayudan,De boca a boca,"Redes sociales, De boca a boca, Ferias",No,Artesanías y el visitante es de un nivel medio,Sábados y domingos es más afluencia y vacaciones ,"Vacaciones,  fines de semana y cuando no hay afecta en las ventas en los ingresos ",Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Que sea atractiva y segura,Muy valioso,"Seguridad, confianza, eficaz",Muy valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),"Atracción, seguridad, confianza ",Que sea una herramienta de apoyo a los comerciantes
Artesanías y Comercio,Más de 10 años,Redes sociales,Las plataformas digitales me ayudan,Redes sociales,"Recomendaciones, Redes sociales, De boca a boca",No,"Artesanías de duentes, en diferentes presentaciones y el turistas es de diferentes niveles por la curiosidad de conocer más sobre duendes ","Darle una buena atención, explicar los significados, dar un buen servicio al cliente","Sábados y domingos, vacaciones de semana santa y diciembre, cuando no hay visitantes baja la venta y afecta un poco la economía ",Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,"Que sea atractiva y tenga más publicidad, atraer más clientes",Muy valioso,"Seguridad, confianza, innovación ",Muy valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),"Que sea seccionado qué tenga el apartado de duendearte para recomendar el lugar, proyectar imágenes del ligar","Que sea confiable, innovador y crear seguridad al turista"
Artesanías y Comercio,4–10 años,Recomendación directa,Me cuesta trabajo atraer visitantes,Recomendaciones,"Recomendaciones, Ferias, De boca a boca",No,Artesanías de ropa bordada,Hay buena venta en temporada de vacaciones ,No hay ventas,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,"Que sea segura, confiable ",Muy valioso,"Innovación, credibilidad ",Muy valioso,Contacto directo con turistas,5.0,Muy dispuesto,Confianza y Respaldo Institucional,"Que muestre mis productos,  que se reflejan mis ventas, que si atraiga turistas ",Que sea una herramienta funcional y atractiva 
Alimentos y Bebidas,Más de 10 años,Plataformas digitales,Las plataformas digitales me ayudan,Plataformas,"Redes sociales, De boca a boca, Recomendaciones",Sí,Restaurante y hotel y atienden a turistas ,Bueno,Si. Me afecta en los ingresos,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Que sea confiable,Muy valioso,Fácil de usar y que de buena promoción ,Valioso,Recomendaciones a turistas,5.0,Dispuesto,Otros / Indeciso,Que sea confiable y efectiva,Que sea efectiva 
Otros Servicios,4–10 años,Recomendación directa,Las plataformas digitales me ayudan,Plataformas,"Redes sociales, Recomendaciones, De boca a boca",Sí,Servicios ,Venta moderada,Baja la venta ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Costos de publicidad,Si,Muy valioso,Ventas,Poco,Mayor visibilidad,5.0,Neutral,Resultados Tangibles (Ventas/Ingresos),Aumentar ventas ,Promocionar el comercio local 
Artesanías y Comercio,Más de 10 años,Recomendación directa,No siempre veo resultados claros,De boca a boca,De boca a boca,No,Artesanias y atiendo a extranjeros y locales,"Buenos, en las ventas ya que se incrementan","Efectivamente, se ve en la disminucion o incremento en las ventas",Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de tiempo,Que la información  proporcionada sea del lugar turístico,Valioso,Que diera ubicaciones exactas y que estuviera actualizada constantemente ,Valioso,Recomendaciones a turistas,4.0,Dispuesto,Otros / Indeciso,Eficacia,Que sea confiable y fácil de entender por los visitantes 
Artesanías y Comercio,Más de 10 años,Recomendación directa,No siempre veo resultados claros,De boca a boca,De boca a boca,No,Artesanías y papelería.  Atiendo a locales y turistas,Bueno,"Si, en la disminución  o incremento en las ventas ",Impacto Económico / Baja Afluencia,Falta de Publicidad / Visibilidad,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Que se fácil y accesible de manejar ,Valioso,Que sea segura y de fácil manejo,Valioso,Recomendaciones a turistas,4.0,Dispuesto,Otros / Indeciso,Más  visibilidad y mayor alcance,Que sea segura y confiable
Artesanías y Comercio,Más de 10 años,Recomendación directa,No siempre veo resultados claros,De boca a boca,"De boca a boca, Recomendaciones, Redes sociales",No,Servicios de ínternety la mayor parte es a gente de la localidad,Bueno,"Si, en los períodos vacacionales de la Sep, nos afectan en los ingresos",Temporada Vacacional,Ninguno,Fácil / Accesible,Sin Malas Experiencias,Falta de tiempo,Que fuera confiable ,Muy valioso,Que tuviera muh buen rendimiento al ofrecer sus servicios,Muy valioso,Mayor visibilidad,5.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Que generará publicidad de calidad,Que ofrezca buenos servicios
Artesanías y Comercio,Más de 10 años,No me promociono,No siempre veo resultados claros,De boca a boca,De boca a boca,No,Miscelanea y generalmente al turismo,Tranquilo ,"Si,y no tengo dinero para invertir",Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Falta de conocimientos digitales,Que sea seria y segura,Neutral,La seguridad de que sea real,Neutral,Recomendaciones a turistas,5.0,Neutral,Resultados Tangibles (Ventas/Ingresos),Que fuera confiable ,Confiabilidad
Hospedaje,1–3 años,Redes sociales,Me cuesta trabajo atraer visitantes,Redes sociales,"Redes sociales, Recomendaciones, Ferias",No,Pequeño motel y mis clientes mayormente son turistas,Atareado,En verano es cuando hay más clientes y en invierno casi no y me cuesta sacar la ganancia ,Variable / Otro,Otro Factor / No Especifica,Difícil / Complicado,Fraudes o Estafas,Costos de publicidad,La accesibilidad y la facilidad para promocionarse ,Muy valioso,Sin anuncios publicitarios que aparecen cada 5 segundos y sin cuentas de pago,Muy valioso,Perfil verificado,3.0,Neutral,Otros / Indeciso,Mayor tiempo para promocionarte sin costos adicionales ,Eficiencia
